JOBID,N,NP,FFT,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
1555751,150,75,FFTW,3,0.5608136304886402,8.269203354929657e-05,24.729875277380575,3.589012835295175,,54,108,13.3496,11.8917,11.1262
1555599,150,75,GPFA,1,0.5608136304886403,8.399917201200895e-05,24.729875277381467,3.589012835295304,,54,108,21.4113,20.5959,19.9643
1555535,150,75,GPFA,2,0.5608136304886403,8.399917201200895e-05,24.729875277381467,3.589012835295304,,54,108,21.4763,20.6552,20.0494
1555763,150,75,GPFA,3,0.5608136304886403,8.399917201200895e-05,24.729875277381467,3.589012835295304,,54,108,21.4509,20.6353,19.9631
1555634,150,150,FFTW,1,0.5608136304887074,8.433925328859188e-05,24.72987527738036,3.589012835295144,,54,108,8.3186,6.6051,6.2689
1555574,150,150,FFTW,2,0.5608136304887075,8.399295960119482e-05,24.72987527738101,3.5890128352952373,,54,108,8.3584,6.6286,6.2886
1555690,150,150,FFTW,3,0.5608136304887074,8.476106353070131e-05,24.72987527737912,3.5890128352949637,,54,108,8.3283,6.6141,6.3126
1555531,150,150,GPFA,1,0.5608136304887076,8.384892618128566e-05,24.72987527738051,3.5890128352951653,,54,108,12.0594,11.2612,10.9164
1555704,150,150,GPFA,2,0.5608136304887076,8.384892618128566e-05,24.72987527738051,3.5890128352951653,,54,108,12.0607,11.2736,10.9741
1555527,150,150,GPFA,3,0.5608136304887076,8.384892618128566e-05,24.72987527738051,3.5890128352951653,,54,108,12.0607,11.286,10.9625
1555579,250,1,FFTW,1,0.5608093950022647,8.404945103983642e-05,24.73004976721285,3.589038158764891,,54,108,975.412,941.5937,919.5767
1555586,250,1,FFTW,2,0.5608093950022648,8.405625451463808e-05,24.73004976702933,3.5890381587382567,,54,108,998.2713,964.4669,942.7053
1555607,250,1,FFTW,3,0.5608093950022646,8.404558119145198e-05,24.730049767480303,3.589038158803705,,54,108,979.3569,945.8388,923.8187
1555719,250,1,GPFA,1,0.5608093950022647,8.408375716106197e-05,24.73004976715023,3.5890381587558027,,54,108,2357.7774,2325.7684,2303.4557
1555666,250,1,GPFA,2,0.5608093950022647,8.408375716106197e-05,24.73004976715023,3.5890381587558027,,54,108,2373.1186,2341.0295,2318.7162
1555756,250,1,GPFA,3,0.5608093950022647,8.408375716106197e-05,24.73004976715023,3.5890381587558027,,54,108,2423.347,2391.5936,2369.0455
1555765,250,2,FFTW,1,0.5608093949981556,8.467558639585395e-05,24.73004976705096,3.589038158741395,,54,108,515.5714,494.2851,482.1987
1555757,250,2,FFTW,2,0.5608093949981556,8.466820247238987e-05,24.730049767500564,3.589038158806646,,54,108,510.2901,488.7278,477.6849
1555771,250,2,FFTW,3,0.5608093949981556,8.468934165130046e-05,24.730049767154828,3.5890381587564697,,54,108,514.2166,493.0524,481.9903
1555667,250,2,GPFA,1,0.5608093949981556,8.465324761774467e-05,24.730049767108063,3.5890381587496827,,54,108,1252.6712,1235.7593,1224.3994
1555677,250,2,GPFA,2,0.5608093949981556,8.465324761774467e-05,24.730049767108063,3.5890381587496827,,54,108,1240.0434,1223.2207,1211.0191
1555710,250,2,GPFA,3,0.5608093949981556,8.465324761774467e-05,24.730049767108063,3.5890381587496827,,54,108,1240.5157,1223.6932,1212.4262
1555660,250,5,FFTW,1,0.5608093950020573,8.393725534087966e-05,24.73004976725786,3.589038158771422,,54,108,290.0866,279.8703,266.5104
1555739,250,5,FFTW,2,0.5608093950020572,8.394102338385807e-05,24.73004976751237,3.589038158808359,,54,108,297.6061,287.3658,273.6987
1555654,250,5,FFTW,3,0.5608093950020573,8.393796236915323e-05,24.73004976738031,3.5890381587891937,,54,108,297.5116,287.1541,274.1448
1555697,250,5,GPFA,1,0.5608093950020572,8.393965723199226e-05,24.73004976725929,3.5890381587716305,,54,108,707.7879,699.2083,685.6187
1555777,250,5,GPFA,2,0.5608093950020572,8.393965723199226e-05,24.73004976725929,3.5890381587716305,,54,108,709.9487,701.3904,687.862
1555733,250,5,GPFA,3,0.5608093950020572,8.393965723199226e-05,24.73004976725929,3.5890381587716305,,54,108,713.6811,705.0257,691.7685
1555568,250,10,FFTW,1,0.5608093949974966,8.161348993702963e-05,24.73004976726628,3.5890381587726443,,54,108,187.5541,180.9821,170.7271
1555718,250,10,FFTW,2,0.5608093949974966,8.182946415085606e-05,24.73004976734312,3.589038158783796,,54,108,187.7164,181.2003,171.3077
1555729,250,10,FFTW,3,0.5608093949974966,8.111327251561987e-05,24.730049767081795,3.5890381587458706,,54,108,186.0209,179.5564,170.5498
1555570,250,10,GPFA,1,0.5608093949974965,8.225470572554109e-05,24.73004976747587,3.5890381588030618,,54,108,392.8054,386.8142,377.028
1555545,250,10,GPFA,2,0.5608093949974965,8.225470572554109e-05,24.73004976747587,3.5890381588030618,,54,108,389.5725,383.6163,374.5723
1555644,250,10,GPFA,3,0.5608093949974965,8.225470572554109e-05,24.73004976747587,3.5890381588030618,,54,108,392.1243,386.2332,376.2291
1555742,250,15,FFTW,1,0.5608093949964128,8.212348152436526e-05,24.73004976715579,3.5890381587566096,,54,108,196.9376,190.0352,177.4587
1555685,250,15,FFTW,2,0.5608093949964128,8.213221021144606e-05,24.73004976713667,3.5890381587538345,,54,108,197.3386,190.4853,177.7621
